item_id,category,stock_level,reorder_point,reorder_frequency_days,lead_time_days,daily_demand,demand_std_dev,item_popularity_score,storage_location_id
ITM10075,Apparel,234,44,8,2,31.51,4.27,0.42,L11
ITM10076,Electronics,481,17,7,5,32.99,6.05,0.78,L30
ITM10077,Pharma,139,33,6,6,38.7,7.51,0.39,L13
ITM10078,Pharma,401,92,6,5,8.68,3.5,0.81,L49
ITM10079,Pharma,74,45,8,6,37.33,5.1,0.71,L36
ITM10080,Automotive,46,59,6,9,30.37,8.23,0.62,L59
ITM10081,Electronics,137,52,7,2,3.82,9.56,0.43,L82
ITM10082,Automotive,240,36,8,5,39.09,2.69,0.28,L47
ITM10083,Automotive,250,41,7,2,19.77,2.9,0.74,L21
ITM10084,Electronics,72,87,9,9,17.19,9.43,0.18,L48
ITM10085,Electronics,314,27,11,6,22.96,4.26,0.97,L46
ITM10086,Electronics,340,37,12,3,17.96,7.32,0.98,L27
ITM10087,Electronics,420,38,9,8,17.58,6.32,0.22,L86
ITM10088,Pharma,252,25,9,5,40.6,3.21,0.19,L35
ITM10089,Groceries,177,56,6,2,7.1,6.71,0.47,L90
ITM10090,Groceries,456,68,3,7,48.56,6.73,0.97,L88
ITM10091,Electronics,288,40,10,5,28.19,6.13,0.46,L83
ITM10092,Groceries,40,13,6,5,9.96,1.45,0.43,L10
ITM10093,Groceries,422,46,3,5,7.43,9.95,0.73,L78
ITM10094,Electronics,72,26,7,4,29.98,4.3,0.26,L82
ITM10095,Groceries,294,48,10,2,32.02,6.56,0.43,L22
ITM10096,Automotive,332,57,6,2,3.6,8.91,0.36,L69
ITM10097,Apparel,300,55,14,5,12.91,4.52,0.64,L94
ITM10098,Apparel,233,99,10,9,39.98,7.85,0.25,L32
ITM10099,Electronics,50,57,10,9,3.43,9.73,0.59,L21
ITM10100,Pharma,356,48,5,3,42.9,3.91,0.87,L60
ITM10101,Electronics,202,13,11,5,33.25,4.35,0.56,L49
ITM10102,Pharma,42,39,5,4,22.29,9.1,0.72,L35
ITM10103,Apparel,51,39,3,6,17.98,2.02,0.17,L82
ITM10104,Electronics,465,31,4,4,1.94,0.77,0.5,L89
ITM10105,Automotive,93,84,8,9,41.44,9.13,0.19,L72
ITM10106,Groceries,29,75,14,3,7.99,8.31,0.64,L29
ITM10107,Pharma,475,21,12,9,16.17,9.74,0.35,L88
ITM10108,Groceries,73,45,4,9,28.89,1.05,0.36,L42
ITM10109,Groceries,71,27,8,9,13.05,1.98,0.17,L99
ITM10110,Electronics,167,99,3,5,25.36,1.5,0.38,L100
ITM10111,Groceries,179,62,13,9,40.66,6.99,0.56,L8
ITM10112,Automotive,389,80,3,2,24.06,6.26,0.63,L30
ITM10113,Groceries,33,10,7,8,47.5,3.91,0.16,L5
ITM10114,Electronics,197,67,12,7,42.53,1.05,0.69,L41
ITM10115,Automotive,431,99,13,5,17.32,6.58,0.54,L52
ITM10116,Apparel,385,96,11,3,20.6,5.92,0.58,L35
ITM10117,Groceries,72,99,10,2,21.74,1.57,0.85,L9
ITM10118,Electronics,427,15,5,4,31.68,9.13,0.41,L28
ITM10119,Apparel,354,79,5,9,15.05,2.39,0.26,L73
ITM10120,Apparel,41,53,3,6,48.49,7.56,0.6,L92
ITM10121,Pharma,49,81,5,6,30.83,8.91,0.95,L41
ITM10122,Automotive,210,33,14,8,20.57,6.01,0.57,L28
ITM10123,Groceries,279,95,14,5,32.61,2.85,0.85,L84
ITM10124,Electronics,224,28,14,4,20.37,3.44,0.78,L64
ITM10125,Pharma,78,27,13,8,41.07,8.91,0.57,L51
ITM10126,Automotive,490,39,3,7,28.82,3.33,0.68,L83
ITM10127,Pharma,283,51,10,7,3.06,7.59,0.47,L59
ITM10128,Automotive,485,42,3,8,9.66,9.91,0.58,L19
ITM10129,Automotive,31,83,7,3,43.38,10.0,0.56,L34
ITM10130,Groceries,138,21,11,6,28.58,5.57,0.74,L18
ITM10131,Automotive,434,36,9,4,47.57,8.35,0.47,L32
ITM10132,Pharma,481,48,6,5,4.55,9.91,0.19,L96
ITM10133,Automotive,309,18,13,9,15.47,4.06,0.81,L72
ITM10134,Groceries,357,30,11,2,10.48,2.9,0.72,L69
ITM10135,Groceries,267,85,11,5,28.14,1.59,0.96,L34
ITM10136,Pharma,373,38,4,5,19.76,1.84,0.49,L96
ITM10137,Apparel,146,42,12,4,8.71,8.61,0.17,L75
ITM10138,Apparel,94,71,12,6,32.49,6.09,0.21,L55
ITM10139,Automotive,380,24,13,4,27.28,8.8,0.8,L75
ITM10140,Electronics,223,11,14,2,14.46,8.0,0.16,L52
ITM10141,Automotive,68,61,8,8,24.51,6.9,0.92,L47
ITM10142,Pharma,98,53,6,4,37.54,6.29,0.35,L29
ITM10143,Pharma,460,63,10,3,11.06,0.96,0.91,L18
ITM10144,Pharma,498,27,14,5,15.35,8.79,0.8,L66
ITM10145,Pharma,260,12,13,6,17.96,4.47,0.88,L64
ITM10146,Pharma,368,16,9,9,37.59,5.82,0.29,L12
ITM10147,Groceries,173,52,9,7,42.5,0.71,0.64,L97
ITM10148,Apparel,293,91,13,2,19.44,9.39,0.18,L7
ITM10149,Pharma,115,47,12,7,15.53,9.08,0.28,L15
ITM10150,Electronics,233,46,11,5,44.58,5.66,0.38,L20
ITM10151,Electronics,313,67,7,4,49.97,5.98,0.77,L81
ITM10152,Electronics,228,42,8,7,33.85,7.2,0.12,L21
ITM10153,Electronics,362,68,3,3,49.51,3.01,0.91,L88
ITM10154,Groceries,107,20,8,4,33.34,2.61,0.16,L55
ITM10155,Electronics,325,77,4,5,36.94,6.9,0.44,L77
ITM10156,Pharma,283,91,8,7,20.04,1.49,0.17,L9
ITM10157,Automotive,444,77,11,9,22.22,4.81,0.79,L50
ITM10158,Electronics,409,97,10,8,8.06,5.18,0.23,L49
ITM10159,Groceries,344,31,11,2,41.31,4.12,0.9,L77
ITM10160,Groceries,447,75,12,7,46.62,2.26,0.58,L60
ITM10161,Electronics,396,53,10,9,31.55,3.88,0.95,L68
ITM10162,Automotive,339,15,5,8,17.84,3.71,0.36,L33
ITM10163,Electronics,176,51,10,8,8.55,5.24,0.51,L71
ITM10164,Groceries,175,34,8,7,13.99,6.91,0.72,L2
ITM10165,Apparel,158,66,8,6,13.52,9.7,0.85,L88
ITM10166,Pharma,140,94,8,7,31.06,1.87,0.48,L93
ITM10167,Groceries,84,64,5,5,47.31,8.79,0.9,L15
ITM10168,Electronics,126,25,12,8,3.37,3.2,0.21,L88
ITM10169,Pharma,166,23,3,2,1.05,6.12,0.74,L69
ITM10170,Electronics,156,48,14,5,30.41,5.69,0.41,L97
ITM10171,Electronics,430,37,6,3,14.92,5.79,0.19,L35
ITM10172,Apparel,181,60,12,4,44.15,7.37,0.45,L99
ITM10173,Pharma,447,58,14,7,17.04,4.13,0.89,L83
ITM10174,Pharma,471,18,8,6,15.2,3.53,0.98,L44
ITM10175,Apparel,119,67,13,2,14.21,8.6,0.45,L15
ITM10176,Groceries,357,54,14,6,8.1,2.59,0.9,L38
ITM10177,Electronics,418,31,12,6,29.49,2.21,0.56,L56
ITM10178,Automotive,326,41,4,6,9.24,0.65,0.75,L21
ITM10179,Electronics,160,78,9,7,21.81,2.5,0.14,L59
ITM10180,Electronics,102,96,9,2,23.59,5.43,0.6,L1
ITM10181,Groceries,196,78,13,2,2.0,5.62,0.16,L93
ITM10182,Electronics,217,51,6,8,1.82,2.92,0.34,L93
ITM10183,Apparel,131,62,6,6,26.49,1.19,0.61,L34
ITM10184,Apparel,75,68,3,8,35.11,7.57,0.83,L65
ITM10185,Pharma,479,83,4,8,47.16,7.7,0.6,L98
ITM10186,Automotive,198,48,11,4,9.78,9.98,0.94,L23
ITM10187,Electronics,440,24,12,7,6.06,9.05,0.83,L65
ITM10188,Electronics,420,80,10,7,3.55,9.3,0.24,L14
ITM10189,Groceries,205,38,10,5,22.37,8.08,0.45,L81
ITM10190,Apparel,490,12,11,9,31.53,6.35,0.7,L39
ITM10191,Automotive,237,92,9,8,42.19,1.72,0.94,L82
ITM10192,Pharma,432,19,11,7,34.45,6.41,0.99,L65
ITM10193,Apparel,436,38,12,6,11.21,1.03,0.79,L78
ITM10194,Pharma,335,88,14,9,23.63,8.91,0.62,L26
ITM10195,Groceries,494,44,4,3,45.61,5.08,0.78,L20
ITM10196,Groceries,236,15,8,6,17.01,7.13,0.35,L48
ITM10197,Electronics,139,21,5,2,25.44,1.0,0.36,L98
ITM10198,Automotive,458,47,13,7,47.97,5.58,0.69,L21
ITM10199,Pharma,413,86,8,9,37.0,3.36,0.88,L70
ITM10200,Apparel,194,28,5,7,37.64,3.21,0.97,L100
ITM10201,Groceries,42,76,10,5,13.36,4.2,0.41,L68
ITM10202,Electronics,232,17,13,8,21.32,0.51,0.82,L1
ITM10203,Electronics,424,17,6,3,5.03,4.93,0.87,L77
ITM10204,Pharma,254,93,14,7,30.72,5.12,0.66,L42
ITM10205,Groceries,32,56,12,5,6.08,8.7,0.41,L63
ITM10206,Automotive,120,13,8,5,41.96,4.76,0.66,L3
ITM10207,Groceries,436,60,11,3,40.91,3.95,0.63,L15
ITM10208,Pharma,43,94,4,6,27.15,9.95,0.65,L47
ITM10209,Pharma,383,76,4,6,7.92,5.93,0.66,L40
ITM10210,Groceries,30,54,9,6,2.25,4.99,0.86,L31
ITM10211,Pharma,292,17,4,4,40.04,5.21,0.25,L8
ITM10212,Groceries,471,96,4,8,30.41,8.19,0.43,L31
ITM10213,Apparel,450,25,6,9,35.84,3.74,0.63,L73
ITM10214,Groceries,300,86,11,8,15.89,4.2,0.35,L11
ITM10215,Groceries,113,76,10,6,25.96,7.68,0.98,L11
ITM10216,Pharma,220,18,4,3,37.61,1.19,0.34,L94
ITM10217,Pharma,40,69,10,4,23.67,8.72,0.52,L63
ITM10218,Electronics,359,87,6,8,30.47,4.59,0.89,L9
ITM10219,Electronics,486,86,4,6,39.7,6.02,0.17,L98
ITM10220,Apparel,230,80,13,4,11.55,7.7,0.84,L69
ITM10221,Electronics,159,24,12,9,4.23,3.03,0.61,L99
ITM10222,Groceries,312,80,9,3,27.06,8.96,0.13,L17
ITM10223,Pharma,317,50,8,6,4.04,9.8,0.91,L17
ITM10224,Electronics,420,31,12,9,38.56,5.2,0.14,L85
ITM10225,Electronics,120,33,7,2,36.24,9.4,0.56,L61
ITM10226,Apparel,323,53,13,9,44.2,0.51,0.14,L71
ITM10227,Apparel,378,10,3,7,32.34,9.0,0.16,L22
ITM10228,Groceries,47,19,4,3,4.29,3.45,0.9,L34
ITM10229,Pharma,60,89,10,9,13.4,3.46,0.79,L68
ITM10230,Apparel,374,81,3,9,40.59,2.67,0.28,L78
ITM10231,Electronics,322,65,5,5,9.19,3.51,0.66,L55
ITM10232,Pharma,165,98,4,5,35.23,2.53,0.82,L28
ITM10233,Pharma,275,59,7,9,39.23,9.11,0.9,L70
ITM10234,Electronics,481,21,6,9,17.18,9.04,0.52,L97
ITM10235,Apparel,246,98,9,3,16.79,1.47,0.91,L94
ITM10236,Electronics,255,90,7,5,28.33,1.86,0.56,L89
ITM10237,Pharma,380,69,10,8,43.2,8.69,0.72,L26
ITM10238,Automotive,399,35,6,3,11.97,4.29,0.98,L92
ITM10239,Automotive,474,87,14,2,47.12,2.11,0.31,L40
ITM10240,Groceries,32,50,8,3,30.36,5.35,0.25,L52
ITM10241,Electronics,229,45,6,6,49.61,4.46,0.41,L86
ITM10242,Electronics,248,32,4,6,5.39,2.58,0.25,L84
ITM10243,Groceries,416,52,3,4,7.2,7.35,0.36,L48
ITM10244,Groceries,119,15,3,5,41.51,6.5,0.77,L57
ITM10245,Groceries,50,78,10,9,43.37,1.45,0.53,L67
ITM10246,Pharma,405,52,6,7,22.83,9.29,0.44,L58
ITM10247,Electronics,35,34,7,5,35.99,5.81,0.43,L16
ITM10248,Pharma,156,27,13,8,43.51,2.88,0.28,L32
ITM10249,Groceries,348,71,10,3,3.11,2.46,0.5,L29
ITM10250,Electronics,185,22,14,7,29.12,1.79,0.66,L9
ITM10251,Pharma,478,52,9,7,42.82,4.53,0.23,L44
ITM10252,Pharma,329,87,10,9,20.51,1.79,0.98,L3
ITM10253,Groceries,459,37,10,9,15.82,4.45,0.5,L76
ITM10254,Electronics,489,27,8,5,39.99,1.91,0.95,L71
ITM10255,Groceries,119,68,12,7,17.45,6.74,0.22,L30
ITM10256,Electronics,128,69,4,7,1.16,7.96,0.79,L76
ITM10257,Automotive,362,72,8,6,48.02,5.72,0.66,L29
ITM10258,Apparel,192,66,3,2,30.01,6.96,0.84,L1
ITM10259,Apparel,256,60,3,9,41.16,9.41,0.64,L10
ITM10260,Apparel,181,65,13,3,41.44,6.56,0.97,L91
ITM10261,Groceries,412,36,5,5,4.25,3.96,0.66,L81
ITM10262,Automotive,235,41,5,9,9.37,4.77,0.81,L8
ITM10263,Electronics,283,18,13,6,16.24,8.67,0.89,L30
ITM10264,Pharma,282,93,7,8,16.71,1.74,0.74,L9
ITM10265,Electronics,311,77,3,9,33.28,3.59,0.57,L5
ITM10266,Pharma,293,55,12,8,31.53,5.98,0.35,L43
ITM10267,Electronics,22,76,8,4,25.23,6.93,0.87,L10
ITM10268,Automotive,47,35,9,7,11.35,7.75,0.53,L66
ITM10269,Pharma,345,17,12,7,19.72,3.52,0.66,L31
ITM10270,Groceries,447,15,14,5,27.64,1.89,0.17,L36
ITM10271,Electronics,168,89,13,2,23.93,9.57,0.55,L86
ITM10272,Electronics,47,33,5,2,7.24,1.23,0.73,L63
ITM10273,Pharma,329,57,6,5,32.83,1.41,0.63,L28
ITM10274,Groceries,457,54,12,5,4.58,5.2,0.5,L70
ITM10275,Groceries,84,22,13,6,19.53,8.28,0.3,L17
ITM10276,Automotive,375,78,12,8,35.79,7.86,0.38,L93
ITM10277,Groceries,40,34,14,5,1.98,9.41,0.73,L74
ITM10278,Groceries,271,29,12,8,28.93,1.85,0.3,L74
ITM10279,Groceries,254,91,12,9,17.39,4.07,0.66,L61
ITM10280,Apparel,246,91,12,9,1.43,3.18,0.63,L32
ITM10281,Automotive,32,75,5,4,10.33,8.68,0.97,L61
ITM10282,Electronics,332,83,3,8,47.11,5.14,0.15,L53
ITM10283,Pharma,68,54,10,6,26.54,0.76,0.2,L25
ITM10284,Electronics,137,56,12,9,49.86,7.23,0.56,L13
ITM10285,Automotive,73,72,12,7,26.72,4.19,0.57,L13
ITM10286,Pharma,157,85,4,7,27.65,5.55,0.14,L85
ITM10287,Automotive,72,86,3,9,20.2,8.99,0.84,L56
ITM10288,Groceries,63,64,10,9,16.19,2.94,0.55,L46
ITM10289,Pharma,322,84,9,9,13.33,2.78,0.41,L55
ITM10290,Groceries,72,28,9,8,17.83,3.0,0.39,L53
ITM10291,Electronics,93,44,6,7,23.53,3.71,0.88,L60
ITM10292,Electronics,65,62,13,7,10.41,1.52,0.28,L94
ITM10293,Pharma,32,35,11,3,12.02,7.12,0.24,L7
ITM10294,Pharma,184,23,8,9,14.31,2.47,0.29,L87
ITM10295,Automotive,121,54,4,4,23.01,9.3,0.66,L84
ITM10296,Automotive,299,53,3,9,32.99,2.55,0.83,L83
ITM10297,Groceries,277,97,3,6,42.95,2.93,0.4,L13
ITM10298,Pharma,489,74,11,6,15.07,3.32,0.26,L8
ITM10299,Electronics,356,60,6,7,10.0,7.8,0.29,L52
ITM10300,Automotive,375,52,7,9,19.56,4.56,0.66,L94
ITM10301,Automotive,417,95,5,2,44.82,8.28,0.32,L44
ITM10302,Electronics,157,32,6,6,1.48,7.96,0.89,L14
ITM10303,Automotive,182,65,14,9,34.22,9.33,0.19,L32
ITM10304,Groceries,428,28,10,4,24.38,7.69,0.13,L25
ITM10305,Pharma,406,91,6,5,8.89,0.99,0.18,L25
ITM10306,Electronics,130,85,11,9,16.73,8.45,0.86,L69
ITM10307,Pharma,121,64,11,4,12.02,9.41,0.69,L58
ITM10308,Automotive,36,69,8,7,44.01,9.94,0.96,L18
ITM10309,Automotive,287,68,4,7,24.61,1.69,0.4,L55
ITM10310,Electronics,201,42,14,3,28.59,6.33,0.29,L24
ITM10311,Groceries,391,28,12,8,30.09,2.39,0.61,L36
ITM10312,Apparel,43,37,13,6,32.34,2.99,0.58,L60
ITM10313,Electronics,48,61,9,8,25.28,7.58,0.63,L32
ITM10314,Apparel,190,58,11,9,1.88,9.79,0.41,L10
ITM10315,Apparel,428,46,8,8,17.4,6.15,0.11,L57
ITM10316,Groceries,247,35,5,6,10.01,8.58,0.13,L71
ITM10317,Apparel,397,49,9,6,34.33,0.58,0.7,L13
ITM10318,Apparel,207,89,7,9,3.78,0.85,0.57,L7
ITM10319,Groceries,365,47,3,7,28.63,6.17,0.84,L84
ITM10320,Apparel,249,86,5,6,11.32,4.2,0.37,L70
ITM10321,Apparel,340,96,7,2,47.49,8.95,0.83,L2
ITM10322,Apparel,359,63,9,2,17.44,3.37,0.48,L12
ITM10323,Electronics,138,31,5,5,16.94,4.6,0.19,L97
ITM10324,Electronics,175,25,8,6,46.25,5.52,0.98,L31
ITM10325,Electronics,291,37,7,3,21.45,3.09,0.56,L22
ITM10326,Groceries,194,44,3,5,48.18,9.13,0.67,L53
ITM10327,Automotive,484,69,12,7,2.18,4.91,0.7,L63
ITM10328,Apparel,123,54,8,6,16.01,4.53,0.43,L62
ITM10329,Apparel,111,55,10,2,33.64,8.57,0.77,L28
ITM10330,Groceries,205,81,3,3,44.65,3.46,0.88,L52
ITM10331,Apparel,479,64,4,9,13.56,8.27,0.45,L8
ITM10332,Electronics,302,95,6,5,46.59,1.66,0.69,L22
ITM10333,Automotive,200,94,14,3,30.11,2.24,0.78,L49
ITM10334,Pharma,189,35,4,6,40.25,9.53,0.27,L1
ITM10335,Apparel,206,94,13,4,20.46,8.5,0.4,L50
ITM10336,Electronics,194,34,11,3,11.4,4.19,0.2,L34
ITM10337,Pharma,241,74,12,3,45.65,6.57,0.64,L59
ITM10338,Automotive,252,15,10,7,46.72,9.46,0.82,L37
ITM10339,Pharma,181,32,10,2,25.38,2.51,0.65,L55
ITM10340,Electronics,440,73,6,9,1.32,1.06,0.26,L90
ITM10341,Pharma,153,96,7,6,6.38,5.61,0.59,L94
ITM10342,Groceries,410,52,6,3,29.08,1.85,0.85,L72
ITM10343,Pharma,499,32,11,6,2.17,2.28,0.37,L85
ITM10344,Apparel,243,39,4,2,20.45,8.97,0.85,L92
ITM10345,Apparel,172,86,13,7,15.87,0.57,0.81,L63
ITM10346,Groceries,52,27,10,6,36.0,8.26,0.12,L20
ITM10347,Electronics,74,96,4,8,3.72,5.41,0.32,L25
ITM10348,Apparel,461,88,3,2,24.95,5.81,0.59,L38
ITM10349,Automotive,26,30,12,2,29.38,6.88,0.75,L28
ITM10350,Apparel,263,66,5,9,31.25,4.6,0.89,L8
ITM10351,Apparel,332,32,11,5,20.85,1.6,0.68,L75
ITM10352,Electronics,145,54,14,7,15.91,1.48,0.44,L95
ITM10353,Pharma,31,53,5,7,34.44,7.67,0.27,L70
ITM10354,Apparel,35,91,11,9,42.53,2.6,0.78,L8
ITM10355,Groceries,227,97,9,8,34.99,0.77,0.29,L96
ITM10356,Pharma,62,56,12,6,46.67,9.81,0.73,L41
ITM10357,Automotive,392,49,3,4,36.15,9.81,0.26,L8
ITM10358,Electronics,480,60,12,8,38.47,4.09,0.18,L7
ITM10359,Automotive,154,51,7,5,9.23,0.74,0.33,L75
ITM10360,Pharma,247,16,11,7,21.56,7.41,0.36,L62
ITM10361,Pharma,130,59,14,2,24.77,8.39,0.68,L65
ITM10362,Pharma,326,57,5,7,13.56,1.69,0.24,L68
ITM10363,Automotive,476,93,11,8,26.9,1.79,0.94,L21
ITM10364,Pharma,179,15,7,4,15.25,8.31,0.6,L8
ITM10365,Automotive,350,18,11,3,34.69,9.26,0.54,L66
ITM10366,Pharma,283,66,12,3,24.04,8.01,0.49,L11
ITM10367,Groceries,244,40,8,9,23.48,2.41,0.61,L24
ITM10368,Pharma,490,30,11,7,49.2,4.41,0.12,L9
ITM10369,Automotive,236,99,9,7,20.23,6.21,0.99,L77
ITM10370,Apparel,475,49,9,5,18.75,2.02,0.6,L9
ITM10371,Pharma,64,54,10,7,16.61,2.5,0.13,L87
ITM10372,Apparel,233,86,9,4,44.84,3.19,0.63,L31
ITM10373,Groceries,78,58,14,7,25.34,5.34,0.49,L52
ITM10374,Electronics,151,96,11,6,30.4,5.35,0.12,L16
ITM10375,Groceries,123,29,13,8,9.86,8.24,0.93,L73
ITM10376,Pharma,214,26,11,9,27.51,7.65,0.11,L32
ITM10377,Apparel,432,37,8,4,14.46,9.18,0.62,L75
ITM10378,Apparel,176,50,9,5,36.8,8.41,0.97,L77
ITM10379,Automotive,117,75,4,6,41.79,2.91,0.31,L6
ITM10380,Apparel,245,34,11,6,36.03,3.65,0.33,L80
ITM10381,Automotive,431,67,14,8,36.78,5.25,0.1,L11
ITM10382,Electronics,224,50,3,3,26.11,0.64,0.16,L54
ITM10383,Pharma,98,15,3,4,35.89,9.09,0.14,L85
ITM10384,Automotive,143,84,5,8,21.71,0.92,0.84,L75
ITM10385,Electronics,490,47,14,6,32.92,3.56,0.85,L73
ITM10386,Apparel,447,15,8,5,13.69,5.91,0.75,L67
ITM10387,Apparel,237,54,7,8,4.42,5.42,0.42,L41
ITM10388,Electronics,23,84,4,3,21.26,6.72,0.84,L34
ITM10389,Apparel,109,23,11,6,23.63,5.51,0.59,L27
ITM10390,Electronics,123,75,12,8,13.56,2.68,0.37,L86
ITM10391,Automotive,412,49,6,4,36.66,2.41,0.49,L92
ITM10392,Automotive,138,12,6,3,4.6,9.12,0.16,L41
ITM10393,Electronics,152,33,7,4,11.91,3.01,0.95,L31
ITM10394,Automotive,331,28,10,4,37.68,3.17,0.66,L34
ITM10395,Automotive,115,27,12,4,22.42,4.42,0.76,L51
ITM10396,Automotive,487,73,6,8,35.56,1.82,0.71,L17
ITM10397,Groceries,453,97,7,3,28.81,5.32,0.7,L86
ITM10398,Pharma,350,44,14,8,47.58,6.82,0.12,L83
ITM10399,Apparel,162,71,6,8,30.29,7.97,0.57,L39
ITM10400,Groceries,307,10,8,8,1.73,7.26,0.84,L59
ITM10401,Automotive,47,34,14,6,18.29,1.9,0.14,L41
ITM10402,Electronics,297,54,5,7,8.01,4.83,0.96,L97
ITM10403,Automotive,252,58,10,2,46.31,0.87,0.48,L10
ITM10404,Pharma,36,98,8,6,6.1,0.67,0.36,L2
ITM10405,Automotive,78,25,12,3,20.0,4.68,0.58,L59
ITM10406,Electronics,109,28,7,2,12.08,2.9,0.82,L80
ITM10407,Pharma,218,32,4,2,42.49,6.99,0.53,L73
